Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
СумОтч		П000100121004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100121005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100121006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100121002	А	T	1	255	О					Наименование показателя
Пояснения		П200100121001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100121004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100121005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100121006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
НДСПриобрЦен			С				Н					Налог на добавленную стоимость по приобретенным ценностям
Пояснения		П000100122001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100122004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100122005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100122006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100122002	А	T	1	255	О					Наименование показателя
Пояснения		П200100122001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100122004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100122005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100122006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДебЗад			С				Н					Дебиторская задолженность
Пояснения		П000100123001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100123004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100123005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100123006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100123002	А	T	1	255	О					Наименование показателя
Пояснения		П200100123001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100123004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100123005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100123006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ФинВлож			С				Н					Финансовые вложения (за исключением денежных эквивалентов)
Пояснения		П000100124001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100124004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100124005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100124006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100124002	А	T	1	255	О					Наименование показателя
Пояснения		П200100124001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100124004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100124005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100124006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДенежнСр			С				Н					Денежные средства и денежные эквиваленты
Пояснения		П000100125001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100125004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100125005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100125006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100125002	А	T	1	255	О					Наименование показателя
Пояснения		П200100125001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100125004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100125005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100125006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОбА			С				НМ					Вписываемые показатели (по оборотным активам)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбА			С				Н					Прочие оборотные активы
Пояснения		П000100126001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100126004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100126005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100126006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100126002	А	T	1	255	О					Наименование показателя
Пояснения		П200100126001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100126004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100126005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100126006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
Пассив			С				О					Пассив
Пояснения		П000100170001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100170004	А	N		12	О					Сумма на отчетную дату отчетного периода - баланс
СумПрдщ		П000100170005	А	N		12	О					Сумма на 31 декабря предыдущего года - баланс
СумПрдшв		П000100170006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему - баланс
КапРез			С				О			&БалансКоммерческойОрганизации		Капитал и резервы
Пояснения		П000100130001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100130004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100130005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100130006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
УставКапитал			С				Н					Уставный капитал (складочный капитал, уставной фонд, вклады товарищей)
Пояснения		П000100131001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100131004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100131005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100131006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100131002	А	T	1	255	О					Наименование показателя
Пояснения		П200100131001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100131004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100131005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100131006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
СобствАкции			С				Н					Собственные акции, выкупленные у акционеров
Пояснения		П000100132001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100132004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100132005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100132006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100132002	А	T	1	255	О					Наименование показателя
Пояснения		П200100132001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100132004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100132005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100132006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПереоцВнеОбА			С				Н					Переоценка внеоборотных активов
Пояснения		П000100134001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100134004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100134005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100134006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100134002	А	T	1	255	О					Наименование показателя
Пояснения		П200100134001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100134004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100134005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100134006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДобКапитал			С				Н					Добавочный капитал (без переоценки)
Пояснения		П000100135001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100135004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100135005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100135006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100135002	А	T	1	255	О					Наименование показателя
Пояснения		П200100135001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100135004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100135005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100135006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезКапитал			С				Н					Резервный капитал
Пояснения		П000100136001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100136004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100136005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100136006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100136002	А	T	1	255	О					Наименование показателя
Пояснения		П200100136001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100136004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100136005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100136006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
НераспПриб			С				Н					Нераспределенная прибыль (непокрытый убыток)
Пояснения		П000100137001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100137004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100137005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100137006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100137002	А	T	1	255	О					Наименование показателя
Пояснения		П200100137001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100137004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100137005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100137006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокКапРез			С				НМ					Вписываемые показатели (по капиталу и резервам)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ЦелевФин			С				О			&БалансНекоммерческойОрганизации		Целевое финансирование
Пояснения		П000100130001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100130004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100130005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100130006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
ПаевФонд			С				Н					Паевой фонд
Пояснения		П000100131001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100131004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100131005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100131006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100131002	А	T	1	255	О					Наименование показателя
Пояснения		П200100131001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100131004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100131005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100131006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ЦелевКапитал			С				Н					Целевой капитал
Пояснения		П000100132001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100132004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100132005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100132006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100132002	А	T	1	255	О					Наименование показателя
Пояснения		П200100132001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100132004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100132005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100132006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ЦелевСредства			С				Н					Целевые средства
Пояснения		П000100135001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100135004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100135005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100135006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100135002	А	T	1	255	О					Наименование показателя
Пояснения		П200100135001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100135004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100135005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100135006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ФондИмущ			С				Н					Фонд недвижимого и особо ценного движимого имущества
Пояснения		П000100136001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100136004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100136005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100136006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100136002	А	T	1	255	О					Наименование показателя
Пояснения		П200100136001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100136004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100136005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100136006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезервИнЦФ			С				Н					Резервный и иные целевые фонды
Пояснения		П000100137001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П000100137004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100137005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100137006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокОПП			С				НМ		+			В том числе вписываемые показатели  по отчетному периоду, по предыдущему и предшествующему ему годам
НаимПок		П200100137002	А	T	1	255	О					Наименование показателя
Пояснения		П200100137001	А	T	1	4	Н					Номер соответствующего пояснения
СумОтч		П200100137004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П200100137005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П200100137006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВПокЦелФин			С				НМ		+			Вписываемые показатели (по целевому финансированию)
НаимПок			А	T	1	255	О					Наименование показателя
Пояснения			А	T	1	4	Н					Номер соответствующего пояснения
СумОтч			А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ			А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв			А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДолгосрОбяз			С				Н					Долгосрочные обязательства
Пояснения		П000100140001	А	T	1	4	Н					Номер соответствующего пояснения
