Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
СумОтч		П000100141004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100141005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100141006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОтложНалОбяз			С				Н					Отложенные налоговые обязательства
СумОтч		П000100142004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100142005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100142006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезУсловОбяз			С				Н					Резервы под условные обязательства
СумОтч		П000100143004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100143005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100143006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбяз			С				Н					Прочие обязательства
СумОтч		П000100145004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100145005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100145006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
КраткосрОбяз			С				Н					Краткосрочные обязательства
СумОтч		П000100150004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100150005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100150006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
ЗаемСредств			С				Н					Заемные средства
СумОтч		П000100151004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100151005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100151006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
КредитЗадолж			С				Н					Кредиторская задолженность
СумОтч		П000100152004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100152005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100152006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДоходБудущ			С				Н					Доходы будущих периодов
СумОтч		П000100153004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100153005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100153006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезервПредРасх			С				Н					Резервы предстоящих расходов
СумОтч		П000100154004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100154005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100154006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбяз			С				Н					Прочие обязательства
СумОтч		П000100155004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100155005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100155006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрибУб	ФормаОтчета		С				О					Отчет о прибылях и убытках
ОКУД			А	T	7	7	О				&ОКУД2	Код формы по ОКУД
Выруч			С				Н					Выручка (за минусом налога на добавленную стоимость, акцизов)
СумОтч		П000100211004	А	N		12	О					За отчетный период
СумПред		П000100211005	А	N		12	Н					За аналогичный период предыдущего года
СебестПрод			С				Н					Себестоимость продаж
СумОтч		П000100212004	А	N		12	О					За отчетный период
СумПред		П000100212005	А	N		12	Н					За аналогичный период предыдущего года
ВаловаяПрибыль			С				Н					Валовая прибыль (убыток)
СумОтч		П000100210004	А	N		12	О					За отчетный период
СумПред		П000100210005	А	N		12	Н					За аналогичный период предыдущего года
КомРасход			С				Н					Коммерческие расходы
СумОтч		П000100221004	А	N		12	О					За отчетный период
СумПред		П000100221005	А	N		12	Н					За аналогичный период предыдущего года
УпрРасход			С				Н					Управленческие расходы
СумОтч		П000100222004	А	N		12	О					За отчетный период
СумПред		П000100222005	А	N		12	Н					За аналогичный период предыдущего года
ПрибПрод			С				Н					Прибыль (убыток) от продаж
СумОтч		П000100220004	А	N		12	О					За отчетный период
СумПред		П000100220005	А	N		12	Н					За аналогичный период предыдущего года
ДоходОтУчаст			С				Н					Доходы от участия в других организациях
СумОтч		П000100231004	А	N		12	О					За отчетный период
СумПред		П000100231005	А	N		12	Н					За аналогичный период предыдущего года
ПроцПолуч			С				Н					Проценты к получению
СумОтч		П000100232004	А	N		12	О					За отчетный период
СумПред		П000100232005	А	N		12	Н					За аналогичный период предыдущего года
ПроцУпл			С				Н					Проценты к уплате
СумОтч		П000100233004	А	N		12	О					За отчетный период
СумПред		П000100233005	А	N		12	Н					За аналогичный период предыдущего года
ПрочДоход			С				Н					Прочие доходы
СумОтч		П000100234004	А	N		12	О					За отчетный период
СумПред		П000100234005	А	N		12	Н					За аналогичный период предыдущего года
ПрочРасход			С				Н					Прочие расходы
СумОтч		П000100235004	А	N		12	О					За отчетный период
СумПред		П000100235005	А	N		12	Н					За аналогичный период предыдущего года
ПрибУбДоНал			С				Н					Прибыль (убыток) до налогообложения
СумОтч		П000100230004	А	N		12	О					За отчетный период
СумПред		П000100230005	А	N		12	О					За аналогичный период предыдущего года
ТекНалПриб			С				Н					Текущий налог на прибыль
СумОтч		П000100241004	А	N		12	О					За отчетный период
СумПред		П000100241005	А	N		12	Н					За аналогичный период предыдущего года
ПостНалОбяз			С				Н					В том числе постоянные налоговые обязательства (активы)
СумОтч		П000100242104	А	N		12	О					За отчетный период
СумПред		П000100242105	А	N		12	Н					За аналогичный период предыдущего года
ИзмНалОбяз			С				Н					Изменение отложенных налоговых обязательств
СумОтч		П000100243004	А	N		12	О					За отчетный период
СумПред		П000100243005	А	N		12	Н					За аналогичный период предыдущего года
ИзмНалАктив			С				Н					Изменение отложенных налоговых активов
СумОтч		П000100245004	А	N		12	О					За отчетный период
СумПред		П000100245005	А	N		12	Н					За аналогичный период предыдущего года
Прочее			С				Н					Прочее
СумОтч		П000100246004	А	N		12	О					За отчетный период
СумПред		П000100246005	А	N		12	Н					За аналогичный период предыдущего года
ЧистПрибУб			С				Н					Чистая прибыль (убыток)
СумОтч		П000100240004	А	N		12	О					За отчетный период
СумПред		П000100240005	А	N		12	О					За аналогичный период предыдущего года
Справочно			С				Н					Справочно
РезПрцВОАНеЧист			С				Н					Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода
СумОтч		П000100251004	А	N		12	О					За отчетный период
СумПред		П000100251005	А	N		12	Н					За аналогичный период предыдущего года
РезПрОпНеЧист			С				Н					Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода
СумОтч		П000100252004	А	N		12	О					За отчетный период
СумПред		П000100252005	А	N		12	Н					За аналогичный период предыдущего года
СовФинРез			С				Н					Совокупный финансовый результат периода
СумОтч		П000100250004	А	N		12	О					За отчетный период
СумПред		П000100250005	А	N		12	Н					За аналогичный период предыдущего года
БазПрибылАкц			С				Н					Базовая прибыль (убыток) на акцию
СумОтч		П000100290004	А	N		12	О					За отчетный период
СумПред		П000100290005	А	N		12	Н					За аналогичный период предыдущего года
РазводПрибылАкц			С				Н					Разводненная прибыль (убыток) на акцию
СумОтч		П000100291004	А	N		12	О					За отчетный период
СумПред		П000100291005	А	N		12	Н					За аналогичный период предыдущего года
